item_id,title,category,year,season,sale_price,cost_price,profit_margin,monthly_sales,competitor_shops,shop_name,tags,link,rating,review_count
T0001,2024秋季 小个子真丝防晒衫 杏色,防晒衫,2024,秋季,285.84,238.15,0.1668,1209,84,风铃女装,"防晒衫,女装,秋季,2024,小个子,真丝,杏色,透气,防晒",https://example.com/item/0001,4.27,2543
T0002,2024夏季 纯欲雪纺连衣裙 浅蓝,连衣裙,2024,夏季,195.83,109.37,0.4415,1324,192,云朵衣橱,"连衣裙,女装,夏季,2024,纯欲,雪纺,浅蓝,连衣裙,度假风",https://example.com/item/0002,4.42,5218
T0003,2025夏季 爆款显瘦法式 雪纺衫,雪纺衫,2025,夏季,84.7,20.88,0.7535,3544,34,风铃女装,"2025,卡其,夏季,女装,爆款,真丝,透气,雪纺衫,飘逸,高腰",https://example.com/item/0003,4.88,3630
T0004,2025夏季 韩版牛仔连衣裙 黑色,连衣裙,2025,夏季,151.61,101.54,0.3303,2315,132,云朵衣橱,"连衣裙,女装,夏季,2025,韩版,牛仔,黑色,连衣裙,度假风",https://example.com/item/0004,4.91,2182
T0005,2025春季 小个子冰丝半身裙 黑色,半身裙,2025,春季,352.27,181.66,0.4843,677,118,蔷薇工坊,"半身裙,女装,春季,2025,小个子,冰丝,黑色",https://example.com/item/0005,4.56,5007
T0006,2025夏季 气质棉雪纺衫 杏色,雪纺衫,2025,夏季,304.19,115.99,0.6187,679,71,云朵衣橱,"雪纺衫,女装,夏季,2025,气质,棉,杏色,透气,飘逸",https://example.com/item/0006,4.5,5937
T0007,2024秋季 ins风雪纺衬衫 浅蓝,衬衫,2024,秋季,330.77,174.88,0.4713,1038,34,海盐衣橱,"衬衫,女装,秋季,2024,ins风,雪纺,浅蓝",https://example.com/item/0007,4.25,5480
T0008,2025夏季 冰丝缎面针织开衫 薄荷绿,针织开衫,2025,夏季,99.01,36.29,0.6335,318,67,夏日衣集,"针织开衫,女装,夏季,2025,冰丝,缎面,薄荷绿",https://example.com/item/0008,4.8,3243
T0009,2025夏季 通勤真丝针织开衫 杏色,针织开衫,2025,夏季,221.73,165.98,0.2514,488,105,云朵衣橱,"针织开衫,女装,夏季,2025,通勤,真丝,杏色",https://example.com/item/0009,4.89,933
T0010,2025夏季 显瘦牛仔雪纺衫 薄荷绿,雪纺衫,2025,夏季,397.64,241.79,0.3919,520,44,沐光女装,"雪纺衫,女装,夏季,2025,显瘦,牛仔,薄荷绿,透气,飘逸",https://example.com/item/0010,4.98,5167
T0011,2025春季 韩版冰丝连衣裙 卡其,连衣裙,2025,春季,151.73,57.36,0.622,2163,80,风铃女装,"连衣裙,女装,春季,2025,韩版,冰丝,卡其,连衣裙,度假风",https://example.com/item/0011,4.2,4338
T0012,2025秋季 纯欲棉阔腿裤 粉色,阔腿裤,2025,秋季,262.14,98.24,0.6252,934,44,云朵衣橱,"阔腿裤,女装,秋季,2025,纯欲,棉,粉色",https://example.com/item/0012,4.81,3245
T0013,2025夏季 复古雪纺衬衫 黑色,衬衫,2025,夏季,356.55,283.68,0.2044,647,95,南风小店,"衬衫,女装,夏季,2025,复古,雪纺,黑色",https://example.com/item/0013,4.45,366
T0014,2025春季 复古棉针织开衫 杏色,针织开衫,2025,春季,279.91,242.7,0.1329,450,108,岛屿穿搭,"针织开衫,女装,春季,2025,复古,棉,杏色",https://example.com/item/0014,4.33,3175
T0015,2025夏季 纯欲真丝针织开衫 粉色,针织开衫,2025,夏季,397.3,271.33,0.3171,626,77,轻语衣舍,"针织开衫,女装,夏季,2025,纯欲,真丝,粉色",https://example.com/item/0015,4.55,3115
T0016,2024春季 通勤雪纺防晒衫 浅蓝,防晒衫,2024,春季,126.08,40.85,0.676,625,227,沐光女装,"防晒衫,女装,春季,2024,通勤,雪纺,浅蓝,透气,防晒",https://example.com/item/0016,4.7,1389
T0017,2025春季 小个子冰丝连衣裙 雾霾蓝,连衣裙,2025,春季,237.73,173.18,0.2715,890,53,蔷薇工坊,"连衣裙,女装,春季,2025,小个子,冰丝,雾霾蓝,连衣裙,度假风",https://example.com/item/0017,4.91,3465
T0018,2025夏季 爆款冰丝防晒 半身裙,半身裙,2025,夏季,279.98,64.24,0.7706,5741,69,轻语衣舍,"2025,半身裙,夏季,女装,小个子,棉,爆款,秋季,黑色",https://example.com/item/0018,4.89,343
T0019,2024秋季 碎花棉防晒衫 浅蓝,防晒衫,2024,秋季,115.57,64.51,0.4418,1017,33,蔷薇工坊,"防晒衫,女装,秋季,2024,碎花,棉,浅蓝,透气,防晒",https://example.com/item/0019,4.54,1685
T0020,2025春季 碎花棉半身裙 白色,半身裙,2025,春季,341.61,300.88,0.1192,404,99,云朵衣橱,"半身裙,女装,春季,2025,碎花,棉,白色",https://example.com/item/0020,4.94,5095
T0021,2025夏季 ins风牛仔雪纺衫 白色,雪纺衫,2025,夏季,181.64,161.82,0.1091,1398,98,岛屿穿搭,"雪纺衫,女装,夏季,2025,ins风,牛仔,白色,透气,飘逸",https://example.com/item/0021,4.41,4708
T0022,2024冬季 高腰真丝短裤 粉色,短裤,2024,冬季,388.05,248.0,0.3609,837,77,蔷薇工坊,"短裤,女装,冬季,2024,高腰,真丝,粉色",https://example.com/item/0022,4.63,4492
T0023,2024冬季 纯欲亚麻连衣裙 白色,连衣裙,2024,冬季,77.04,30.45,0.6048,369,62,云朵衣橱,"连衣裙,女装,冬季,2024,纯欲,亚麻,白色,连衣裙,度假风",https://example.com/item/0023,4.68,4057
T0024,2025冬季 轻薄真丝半身裙 白色,半身裙,2025,冬季,77.69,53.42,0.3124,681,152,沐光女装,"半身裙,女装,冬季,2025,轻薄,真丝,白色",https://example.com/item/0024,4.65,1911
